ISO,imr1830,imr1900,imr19501955,imr19651970,imr19801985,imr19952000,imr20052010
SLE,,,236.896,210.627,151.335,148.922,127.177
COD,,,166.749,143.564,124.106,128.555,115.898
CAF,,,204.135,159.772,111.922,114.315,105.483
TCD,,,186.466,159.723,130.195,114.435,105.297
AGO,,,230.819,186.204,157.105,138.014,104.349
GNB,,,157.058,145.007,134.832,114.96,101.937
GNQ,,,196.613,166.783,138.187,114.998,101.729
MLI,,,242.337,191.709,150.761,118.191,100.285
MWI,,,197.99,180.125,151.008,120.814,95.239
BDI,,,166.771,140.512,117.263,106.87,93.448
NGA,,,200.683,159.634,125.327,118.613,89.933
SOM,,,200.174,160.687,127.817,105.168,89.784
SSD,,,248.588,193.95,163.864,113.915,89.66
MOZ,,,220.367,172.228,143.728,115.342,87.119
CIV,,,268.034,169.468,112.622,99.247,86.575
CMR,,,169.542,133.084,98.346,88.19,82.474
GIN,,,207.038,192.289,156.557,111.788,80.991
BFA,,,228.222,172.163,119.311,99.51,80.4
AFG,,,286.906,217.537,165.548,100.852,78.276
ZMB,,,148.413,117.969,103.681,110.561,77.995
MRT,,,147.98,113.649,89.249,78.258,76.331
SWZ,,,174.031,140.716,90.472,80.197,75.889
LSO,,,169.177,130.178,93.776,79.165,75.686
TGO,,,186.359,128.107,92.31,80.25,74.702
BEN,,,209.68,162.609,122.326,92.062,73.776
COG,,,142.119,96.63,78.732,79.435,72.923
COM,,,178.324,141.459,105.646,83.474,72.262
LBR,,,224.449,194.994,154.231,128.816,71.802
PAK,,,198.401,128.275,102.511,82.488,71.358
UGA,,,160.587,116.548,110.628,95.534,66.752
NER,,,161.915,155.63,132.833,102.927,63.734
DJI,,,154.401,120.304,87.401,71.785,63.448
YEM,,,350.209,212.89,116.972,75.364,61.313
TZA,,,153.38,128.161,104.315,92.373,60.561
GMB,,,156.293,127.492,89.963,69.616,60.389
RWA,,,160.543,137.177,108.938,120.965,60.307
ETH,,,199.539,148.087,140.302,96.861,60.154
KEN,,,147.172,104.479,69.936,73.684,59.719
TJK,,,160.168,133.547,106.938,79.651,56.006
GHA,,,147.491,113.315,92.7,66.913,55.353
SEN,,,127.802,112.887,84.98,68.266,54.132
ERI,,,199.885,161.488,116.028,73.268,53.913
MMR,,,213.868,124.123,90.509,65.237,52.676
ZWE,,101.5,114.586,89.581,63.224,71.06,52.657
ZAF,,,110.475,83.612,60.723,53.352,51.911
GAB,,,179.543,134.391,77.679,58.288,51.159
KHM,,,142.636,132.074,107.615,85.391,51.102
TLS,,,264.605,201.22,183.645,84.757,50.982
IND,,,164.352,132.489,97.803,66.993,50.572
TKM,,,150.169,120.539,90.904,61.272,50.485
PNG,,,158.075,113.808,74.469,61.716,50.073
HTI,,,219.655,150.327,122.173,70.107,48.586
LAO,,,177,147.658,121.918,72.068,47.3
UZB,,,125.144,94.506,71.46,54.737,47.104
STP,,,124.52,88.133,63.631,54.645,46.052
BOL,,142,175.924,157.62,109.213,66.662,45.626
MDG,,,182.759,144.718,109.09,77.761,45.502
NPL,,,216.865,172.533,124.383,68.242,44.715
ESH,,,217.091,173.643,110.068,64.455,44.085
BGD,,,190.147,152.332,121.996,70.009,43.666
